Flight Routes for International Flights to Mainland of China Nr2605 (EFF202605131600UTC),,
Route Code,Departure AD,Fly along,
AGAVO-ZBAA-01,CYMX CYUL CYVR CYYC CYYZ KBFI KBOS KBWI KDAL KDCA KDET KDFW KDTW KEWR KIAD KJFK KLAS KLAX KLGA KMDW KMEM KORD KPAE KSEA KSFO KSJC KYIP MMTJ NZAA PAED PANC PGSN PGUA PGUM PHNL RJAA RJBB RJCA RJCC RJCH RJCO RJEC RJFF RJGG RJNA RJOO RJTT RJTY RKJB RKJJ RKPC RKPK RKSI RKSM RKSS RKTN RKTU ROAH RONA RPLL RPMM YMML YSSY,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 DUMAP,
AGAVO-ZBAD-01,KDAL KDFW PGSN RJAA RJBB RJCC RJCO RJFF RJGG RJNA RJOO RJTT RJTY RKPC RKPK RKSI RKSM RKSS,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 DUMAP,
AGAVO-ZBDS-01,RJBB RJOO,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 APOGO W218 YLX,
AGAVO-ZBHH-01,RJBB RJGG RJNA RJOO RKPC RKSI RKSM RKSS,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 AGVUR B208 TODAM,
AGAVO-ZBOW-01,RJAA RJBB RJOO RJTT RJTY RKPC,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 APOGO W218 YLX W193 ALGOV,
AGAVO-ZBSJ-01,RJAA RJBB RJFS RJGG RJNA RJNS RJOO RJTT RJTY RKPC RKPK RKSI RKSM RKSS RKTU,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 IDGIS,
AGAVO-ZBTJ-01,KLAX NZAA PAED PANC PGSN PGUA PGUM RJAA RJAH RJBB RJBD RJCA RJCB RJCC RJCH RJCO RJEC RJFF RJFR RJFS RJFU RJGG RJNA RJNS RJNT RJOO RJSA RJTT RJTY RKJB RKNW RKNY RKPC RKPK RKPS RKSI RKSM RKSS RKTN ROAH RONA YSSY,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 DUMAP,
AGAVO-ZBYN-01,RJAA RJBB RJNS RJOO RJSN RJTT RJTY RKJB RKPC RKSI RKSM RKSS,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 TOKUD,
AGAVO-ZGHA-01,RKSI RKSM RKSS,AGAVO A591 IKEKA W4 IPNIT W37 GUSIV,
AGAVO-ZHCC-01,CYVR KLAX PAED PANC RJBB RJOO RKSI RKSM RKSS RKTN,AGAVO A591 IKEKA W4 TAMIX B208 NOPIN,
AGAVO-ZHEC-01,RKSI RKSM RKSS,AGAVO A591 IKEKA W4 IPNIT W37 ENLAB,
AGAVO-ZHHH-01,RKSI RKSM RKSS,AGAVO A591 IKEKA W4 IPNIT W37 PONUD,
AGAVO-ZLIC-01,RJBB RJOO RKSI RKSM RKSS,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 APOGO W218 TUTGO W220 NIRUV B215 YHD,
AGAVO-ZLXY-01,PGSN RJAA RJBB RJCA RJCB RJCC RJCH RJCO RJEC RJFR RJGG RJNA RJNS RJOO RJSA RJTT RJTY RKNY RKPC RKPK RKSI RKSM RKSS,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 KAPDO W276 LOVRA,
AGAVO-ZPPP-01,RKSI RKSM RKSS,AGAVO A591 IKEKA W4 IPNIT W37 DUBAS R343 WHA A581 QNX W136 XISLI,
AGAVO-ZSJN-01,KLAX KSJC RJAA RJBB RJCC RJCO RJGG RJNA RJNS RJOO RJTT RJTY RKPC RKSI RKSM RKSS RKTN YSSY,AGAVO A591 IKEKA W4 BASOV,
AGAVO-ZSNJ-01,RKSI RKSM RKSS,AGAVO W209 OMLIB A326 IKADI W113 YCH W177 HUN W525 LAGAL W178 OF,
AGAVO-ZSNJ-02,RKPC RKPK RKSI RKSM RKSS,AGAVO W209 OMLIB A326 IKADI W113 YCH W185 OF,
AGAVO-ZSPD-01,KLAX PAED PANC RKSI RKSM RKSS,AGAVO W209 OMLIB A326 AKARA A593 PUD,
AGAVO-ZSPD-02,RKSI RKSM RKSS,AGAVO W209 OMLIB A326 IKADI W113 SOSMA W108 MATNU W115 PINOT,
AGAVO-ZSQD-01,CYVR CYYZ KLAX KSFO PAED PANC RJAA RJBB RJCH RJFF RJGG RJNA RJOO RJTT RJTY RKPC RKPK RKSI RKSM RKSS RKTN RKTU,AGAVO W209 LATUX,
AGAVO-ZSWH-01,RKSI RKSM RKSS,AGAVO A591 IKEKA W4 WEH,
AGAVO-ZSXZ-01,RKSI RKSM RKSS,AGAVO W209 OMLIB A326 IKADI W113 YCH W177 OMUDI W125 DO,
AGAVO-ZSYA-01,RKSI RKSM RKSS,AGAVO W209 OMLIB A326 IKADI W113 YCH W185 NIXEM,
AGAVO-ZSYN-01,RKSI RKSM RKSS,AGAVO W209 OMLIB A326 IKADI W113 YCH,
AGAVO-ZSYT-01,KLAX RJAA RJBB RJCC RJCO RJFF RJGG RJNA RJNS RJOO RJTT RJTY RKNY RKPC RKPK RKSI RKSM RKSS RKTN RKTU,AGAVO A591 IKEKA W4 FZ,
AGAVO-ZUCK-01,KEWR KJFK KLGA RKSI RKSM RKSS,AGAVO A591 IKEKA W4 LIMGI W152 URGOD W278 AVDIG W666 VINEX,
AGAVO-ZUGY-01,RKSI RKSM RKSS,AGAVO A591 IKEKA W4 IPNIT W37 DUBAS R343 WHA A581 HUY W183 TRN W680 UBGUP,
AGAVO-ZUTF-01,RKSI RKSM RKSS,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 KAPDO W276 ANRUG W279 ONEBA G212 BUPMI,
AGAVO-ZUTF-02,KEWR KJFK KLGA KMDW KORD RKSI RKSM RKSS,AGAVO A591 IKEKA W4 LIMGI W152 BUBDU W276 ANRUG W279 ONEBA G212 BUPMI,
AGAVO-ZUUU-01,RKSI RKSM RKSS,AGAVO A591 IKEKA W4 HCH W200 DOVIV W55 PAMRU W34 VYK B215 KAPDO W276 ANRUG W279 ONEBA G212 SUBUL W230 AKDIK,
AGAVO-ZUUU-02,RJAA RJBB RJOO RJTT RJTY RKSI RKSM RKSS RKTU,AGAVO A591 IKEKA W4 LIMGI W152 BUBDU W276 ANRUG W279 ONEBA G212 SUBUL W230 AKDIK,
AGAVO-ZYCC-01,RJAA RJAH RJBB RJFF RJFO RJGG RJNA RJOO RJTT RJTY RKPC RKPK RKSI RKSM RKSS RKTN RKTU,AGAVO G597 DONVO A326 SANKO W107 CHI A588 LEMOT,
AGAVO-ZYHB-01,RJAA RJBB RJGG RJNA RJOO RJSN RJTT RJTY RKNY RKPC RKPK RKSI RKSM RKSS RKTN RKTU,AGAVO G597 DONVO A326 SANKO W107 CHI A588 NULRA W206 MAGBI W656 ISLUK W629 LARUN,
AGAVO-ZYJM-01,RKSI RKSM RKSS,AGAVO G597 DONVO A326 SANKO W107 CHI A588 HRB G212 JMU,
AGAVO-ZYTL-01,RJAA RJAH RJBB RJCC RJCO RJFF RJFK RJFR RJGG RJNA RJNS RJNT RJOA RJOB RJOO RJSS RJTT RJTY RKNY RKPC RKPK RKSI RKSM RKSS RKTU,AGAVO G597 DONVO A326 SANKO W579 RUPID,
AGAVO-ZYTX-01,KLAX RJAA RJAH RJBB RJCC RJCO RJFF RJFO RJFR RJFS RJGG RJNA RJNS RJOO RJOT RJTT RJTY RKJB RKJJ RKNY RKPC RKPK RKSI RKSM RKSS RKTN RKTU ROAH RONA,AGAVO G597 DONVO A326 SANKO W107 CHI A588 TOSID,
AGVUT-ZBAA-01R,UTDD,AGVUT L181 DSC B215 FKG W188 LIKMI W270 DKO W69 GUVBA,
AGVUT-ZBAA-02R,UTDD,AGVUT L181 DSC B215 MAGIV W187 DNH W621 NIXUK W271 BOTKI W270 DKO W69 GUVBA,
AGVUT-ZGGG-01R,UTDD,AGVUT L181 DSC B215 FKG W192 ESDEX W191 DNC W565 BIGUX B330 KWE W181 DUDIT A599 GYA,
AGVUT-ZGGG-02R,HECA LFAT LFPB LFPG LFPO LTBA LTFJ LTFM OMDB OMDW UTDD,AGVUT L181 DSC B215 MAGIV W187 TUSLI W112 VIKUP W191 DNC W565 BIGUX B330 KWE W181 DUDIT A599 GYA,
AGVUT-ZGSZ-01R,EGAE EGGW EGKK EGLL EGSS LFAT LFPB LFPG LFPO LTBA LTFJ LTFM OMDB OMDW UTDD,AGVUT L181 DSC B215 MAGIV W187 TUSLI W112 VIKUP W191 DNC W565 BIGUX B330 KWE W181 DUDIT A599 POU W7 SAREX,
AGVUT-ZLXY-01R,UTDD,AGVUT L181 DSC B215 MAGIV W187 TUSLI W112 VIKUP W191 DNC W565 BIGUX W214 HO,
AGVUT-ZUTF-01R,EGAE EGGW EGKK EGLL EGSS HECA LFAT LFPB LFPG LFPO LTBA LTFJ LTFM OMDB OMDW UTDD,AGVUT L181 DSC B215 MAGIV W187 TUSLI W112 VIKUP W191 DNC W565 BIGUX B330 MEXAD,
AGVUT-ZWWW-01R,UTDD,AGVUT L181 DSC B215 EPDAG,
APITO-ZSPD-01,PGSN,APITO A326 AKARA A593 PUD,
ASSAD-ZGGG-01,FIMP FMEE HKJK VCBI VCCC VDPP VDTI VLPS VTBD VTBS VTSG VTSM VVNB,ASSAD A202 SIKOU TAMOT W68 IDUMA,
ASSAD-ZGSZ-01,FIMP VDSV VLVT VOMM VRMM VTBD VTBS VTBU VTCA VTCC VTCT VTSB VTSG VTSP WMKP,ASSAD A202 SIKOU LANDA,
ASSAD-ZGSZ-02,FAOR VDPP VDTI VOBG VOBL VOMM VTBD VTBS VTSP VVTS WMKK,ASSAD A202 AGPOR W71 LH R200 BIGRO W552 LOVTA,
ASSAD-ZGZJ-01,VDSV VTBD VTBS VVCR,ASSAD A202 AGPOR W71 LH,
ASSAD-ZJHK-01,OEJN OIIE OIII OMAA OMAD OMDB OMDW UGTB VDPP VDSV VDTI VLLB VLVT VTBD VTBS VTBU VTCA VTCC VTCT VVCI VVTS VYMD VYNT VYYY WBGG WIHH WIII WMKK WMKL WMKP WSAP WSSL WSSS,ASSAD A202 SAMAS MLT,
ASSAD-ZSAM-01,VRMM VTBD VTBS VTCC VTSG VTSP VYYY,ASSAD A202 AGPOR W71 LH R200 BEBEM A470 TEBON,
ASSAD-ZSFZ-01,VLVT VTBD VTBS VTSG VTSP,ASSAD A202 AGPOR W71 LH R200 BEBEM A470 ENVEN,
ASSAD-ZSHC-01,VRMM VTBD VTBS VTSP,ASSAD A202 AGPOR W71 LH R200 BEBEM A470 UGAGO,
ASSAD-ZSNB-01,VDPP VDTI VTBD VTBS VTBU VTSB VTSG VTSP,ASSAD A202 AGPOR W71 LH R200 BEBEM A470 LJG B221 SHZ,
ASSAD-ZSWZ-01,VLVT VTBD VTBS VTSB VTSG,ASSAD A202 SIKOU MAGOG A470 LJG B221 MUDOD W76 UNRUP,
BEKOL-ZBAA-01,NZAA RPLC RPLL RPMM RPVK RPVM VDSA VVTS WADD WAMM WBKK WBSB WIDD WIHH WIII WMKJ WMKK WSAP WSSL WSSS YBBN YMML YSSY,BEKOL A461 BUBDA W56 DUGEB,
BEKOL-ZBAD-01,RPLL RPMM RPVK VVCR VVDN VVTS WADD WAMM WBKK WBSB WMKK WSAP WSSL WSSS,BEKOL A461 BUBDA W56 ORODO W62 TEKIL G212 BELAX,
BEKOL-ZBHH-01,VVCR VVDN,BEKOL A461 BUBDA W56 OBMEP B208 TODAM,
BEKOL-ZBSJ-01,VVCR,BEKOL A461 BUBDA W56 ORODO W62 AVLIS,
