Arpt_ICAO	Procedure Type	Procedure Ident
00R	SIAP	R30
00U	SIAP	R26
02A	SIAP	R08
02A	SIAP	R26
02G	SIAP	R25
03D	SIAP	R12
03D	SIAP	R30
04W	SIAP	R06
04Y	SIAP	R34
04Y	SIAP	VDM-A
05C	SIAP	R08
05C	SIAP	R26
05C	STAR	LUCIT3
05C	STAR	PANGG7
05D	SIAP	R12
05D	SIAP	R30
05U	SIAP	R18
05U	SID	MINES1
06A	SIAP	R13
06A	SIAP	R31
06D	SIAP	R32
06FA	STAR	CLMNT2
06FA	STAR	CPTAN3
06FA	STAR	MLB2
06FA	STAR	STOOP3
06FA	STAR	TTYLR4
06FA	STAR	VUUDU1
06N	SIAP	R08
06N	SIAP	R26
07A	SIAP	R14
07A	SIAP	R32
07F	SIAP	R14
07F	SIAP	R32
07FA	STAR	BNFSH3
07FA	STAR	CSTAL3
07FA	STAR	FOWEE2
07FA	STAR	FROGZ5
07FA	STAR	PALMZ2
07FA	STAR	SNDBR3
07FA	STAR	TARPN3
07FA	STAR	VIICE2
07K	SIAP	R16
07K	SIAP	R34
08A	SIAP	R09
08A	SIAP	R27
08D	SIAP	R10
08D	SIAP	R28
08K	SIAP	R17
08K	SIAP	R35
08N	SIAP	R07
08N	SIAP	R25
09A	SIAP	R12
09A	SIAP	R30
09J	SIAP	R18
09J	SIAP	VOR-A
0A3	SIAP	R06
0A3	SIAP	R24
0A8	SIAP	R10
0A8	SIAP	R28
0A9	SIAP	R06
0B1	SIAP	R32-Z
0B4	SIAP	R13
0B4	SIAP	R31
0B5	SIAP	RNV-B
0B8	SIAP	VOR-A
0C4	SIAP	R15
0C4	SIAP	R33
0D8	SIAP	R13
0D8	SIAP	R31
0E0	SIAP	R08
0E0	SIAP	R26
0F2	SIAP	R17
0F2	SIAP	R35
0F4	SIAP	R16
0F4	SIAP	R34
0G3	SIAP	R15
0G3	SIAP	R33
0G6	SIAP	R07
0G6	SIAP	R25
0G7	SIAP	R01
0G7	SIAP	R19
0H1	SIAP	RNV-A
0H1	SIAP	RNV-B
