point_id,region_code,aip_cycle,ident,point_type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,associated_airport,frequency_khz,dme_frequency_khz,dme_channel,usage_type,power,source_system,source_file
CN-2605-airport-AEQ,CN,2605,AEQ,airport,Ar Horqin Airport,43.908407,120.15099,1335,CN,AEQ,,,,,,OurAirports,airports.csv
CN-2605-navaid-AND-103,CN,2605,AND,vor-dme,Andong,30.253299713134766,121.21800231933594,17,CN,,114800,114800,095X,BOTH,HIGH,OurAirports,navaids.csv
CN-2605-navaid-B-184,CN,2605,B,ndb,Hongqiao,31.173099517822266,121.33799743652344,,CN,,257,,,TERMINAL,LOW,OurAirports,navaids.csv
CN-2605-navaid-BAV-196,CN,2605,BAV,vor-dme,Baotou,40.560001373291016,109.99500274658203,3330,CN,,117300,117300,120X,BOTH,HIGH,OurAirports,navaids.csv
CN-2605-navaid-BH-243,CN,2605,BH,ndb,Gaoyao,23.06999969482422,112.48699951171875,,CN,,317,,,BOTH,MEDIUM,OurAirports,navaids.csv
CN-2605-navaid-BHS-249,CN,2605,BHS,vor-dme,Baihesi,30.50830078125,104.2030029296875,1667,CN,ZUUU,117900,117900,126X,BOTH,HIGH,OurAirports,navaids.csv
CN-2605-navaid-BK-266,CN,2605,BK,ndb,Ningbo,29.895000457763672,121.33200073242188,,CN,ZSNB,227,,,BOTH,MEDIUM,OurAirports,navaids.csv
CN-2605-navaid-BM-288,CN,2605,BM,ndb,Wafangdian,39.63999938964844,121.72200012207031,,CN,,552,,,BOTH,MEDIUM,OurAirports,navaids.csv
CN-2605-navaid-BNN-298,CN,2605,BNN,vor-dme,Xishuangbanna,21.984600067138672,100.75199890136719,1840,CN,ZPJH,116300,116300,110X,BOTH,HIGH,OurAirports,navaids.csv
CN-2605-navaid-BS-332,CN,2605,BS,ndb,Liyuantun,34.41669845581055,114.21800231933594,,CN,,285,,,BOTH,LOW,OurAirports,navaids.csv
CN-2605-navaid-BSE-333,CN,2605,BSE,vor-dme,Bose,23.895000457763672,106.64800262451172,520,CN,,115900,115900,106X,BOTH,HIGH,OurAirports,navaids.csv
