region_code,region_name,implemented,aip_cycle,region_aip_number,source_system,source_files,route_count,reference_point_count,valid_from,valid_until,last_updated_at,notes
CN,China,true,2605,Nr2605,China AIP CSV / Waypoint Markdown,CHINA_AIP/International Flights from Mainland of China Nr2605.csv;CHINA_AIP/International Flights to Mainland of China Nr2605.csv;CHINA_AIP/Overflying Flight Routes From Operation Center Nr2605.csv;CHINA_AIP/Regional Flight Routes Nr2605.csv;WAYPOINTS-CN.md/Directory of Waypoints in China.md,1927,557,2026-05-13T16:00:00Z,,2026-05-31T06:39:14.958Z,First export includes published China route catalogs expanded into route lookup and leg indexes.
US,United States,true,2605,FAA CIFP 2605,FAA CIFP / OurAirports,US_FAA_CIFP/FAACIFP18.txt;airports.csv;navaids.csv,0,2244,2026-05-14T00:00:00Z,,2026-05-31T06:39:14.958Z,First export includes airport/navaid reference data; detailed FAA procedure route extraction should be added after ARINC record mapping is finalized.
SG,Singapore,true,2605,AIP AMDT 02/2026,Singapore AIP PDF,SG-ENR-3.1.pdf,20,94,2026-03-19T00:00:00Z,,2026-05-31T06:39:14.958Z,PDF-derived ENR airway graph and reference-point export; airport-pair lookup rows are intentionally conservative.
HK,Hong Kong,true,2605,AIP Hong Kong ENR 3.1,Hong Kong AIP PDF,VH-ENR-3.1.pdf,8,21,2023-11-30T00:00:00Z,,2026-05-31T06:39:14.958Z,PDF-derived ENR airway graph and reference-point export; airport-pair lookup rows are intentionally conservative.
FR,France,true,2605,AIRAC AMDT 02/26,France AIP PDF,FR-ENR-3.2-fr-FR.pdf,216,1492,2026-02-19T00:00:00Z,,2026-05-31T06:39:14.958Z,First export includes published China route catalogs expanded into route lookup and leg indexes.
DE,Germany,true,2605,AIXM 2026-05-14,Germany AIXM XML,ED_Waypoints_2026-05-14_2026-06-11_revision.xml;ED_Navaids_2026-05-14_2026-05-14_snapshot.xml,0,5193,2026-05-14T00:00:00Z,,2026-05-31T06:39:14.958Z,First export includes published China route catalogs expanded into route lookup and leg indexes.
GB,United Kingdom,true,2605,AMDT 05/2026,UK AIP PDF,EG-ENR-3.2-en-GB.pdf,215,1457,2026-05-14T00:00:00Z,,2026-05-31T06:39:14.958Z,First export includes published China route catalogs expanded into route lookup and leg indexes.
RU,Russia,true,2605,AIRAC AMDT 05/25,Russia AIP PDF,RU-ENR-3.2.pdf,6,3989,2025-05-15T00:00:00Z,,2026-05-31T06:39:14.958Z,First export includes published China route catalogs expanded into route lookup and leg indexes.
JP,Japan,true,2605,Waypoint directory import,Japan Waypoint Markdown,WAYPOINTS-JP.md/Directory of Waypoints in Japan.md,0,2797,2026-05-14T00:00:00Z,,2026-05-31T06:39:14.958Z,First export includes published China route catalogs expanded into route lookup and leg indexes.
CA,Canada,true,2605,Waypoint directory import,Canada Waypoint Markdown,WAYPOINTS-CA.md/Directory of Waypoints in Canada.md,0,4493,2026-05-14T00:00:00Z,,2026-05-31T06:39:14.958Z,First export includes published China route catalogs expanded into route lookup and leg indexes.
