region_code,aip_cycle,airport_code,airport_role,route_id,route_code,direction,opposite_key
CN,2605,AYPY,departure,CN-2605-LAMEN-ZSPD-01,LAMEN-ZSPD-01,arrival,ZSPD
CN,2605,AYPY,departure,CN-2605-MAGOG-ZSPD-01,MAGOG-ZSPD-01,arrival,ZSPD
CN,2605,AYPY,departure,CN-2605-TAMOT-ZGGG-01,TAMOT-ZGGG-01,arrival,ZGGG
CN,2605,AYPY,arrival,CN-2605-ZGGG-SIERA-01,ZGGG-SIERA-01,departure,ZGGG
CN,2605,AYPY,arrival,CN-2605-ZSPD-LAMEN-01,ZSPD-LAMEN-01,departure,ZSPD
CN,2605,AYPY,arrival,CN-2605-ZSPD-LAMEN-02,ZSPD-LAMEN-02,departure,ZSPD
CN,2605,AYPY,arrival,CN-2605-ZSPD-MAGOG-01,ZSPD-MAGOG-01,departure,ZSPD
CN,2605,CYEG,departure,CN-2605-MAGIT-ZBTJ-01,MAGIT-ZBTJ-01,arrival,ZBTJ
CN,2605,CYEG,departure,CN-2605-MAGIT-ZSPD-02,MAGIT-ZSPD-02,arrival,ZSPD
CN,2605,CYEG,departure,CN-2605-SIMLI-ZBTJ-01,SIMLI-ZBTJ-01,arrival,ZBTJ
CN,2605,CYEG,arrival,CN-2605-ZSPD-ARGUK-02,ZSPD-ARGUK-02,departure,ZSPD
CN,2605,CYEG,arrival,CN-2605-ZSPD-LAMEN-01,ZSPD-LAMEN-01,departure,ZSPD
CN,2605,CYEG,arrival,CN-2605-ZSPD-LAMEN-02,ZSPD-LAMEN-02,departure,ZSPD
CN,2605,CYEG,arrival,CN-2605-ZSPD-SIMLI-02,ZSPD-SIMLI-02,departure,ZSPD
CN,2605,CYMX,departure,CN-2605-AGAVO-ZBAA-01,AGAVO-ZBAA-01,arrival,ZBAA
CN,2605,CYMX,departure,CN-2605-LAMEN-ZBAA-01,LAMEN-ZBAA-01,arrival,ZBAA
CN,2605,CYMX,departure,CN-2605-LAMEN-ZSPD-01,LAMEN-ZSPD-01,arrival,ZSPD
CN,2605,CYMX,departure,CN-2605-MAGIT-ZBAA-01,MAGIT-ZBAA-01,arrival,ZBAA
CN,2605,CYMX,departure,CN-2605-MAGIT-ZSPD-01,MAGIT-ZSPD-01,arrival,ZSPD
CN,2605,CYMX,departure,CN-2605-MAGIT-ZSPD-02,MAGIT-ZSPD-02,arrival,ZSPD
CN,2605,CYMX,departure,CN-2605-POLHO-ZBAA-01,POLHO-ZBAA-01,arrival,ZBAA
CN,2605,CYMX,departure,CN-2605-POLHO-ZSPD-01,POLHO-ZSPD-01,arrival,ZSPD
CN,2605,CYMX,departure,CN-2605-SIMLI-ZBAA-01,SIMLI-ZBAA-01,arrival,ZBAA
CN,2605,CYMX,departure,CN-2605-SIMLI-ZSPD-01,SIMLI-ZSPD-01,arrival,ZSPD
CN,2605,CYMX,departure,CN-2605-SIMLI-ZSPD-02,SIMLI-ZSPD-02,arrival,ZSPD
CN,2605,CYMX,arrival,CN-2605-ZBAA-AGAVO-01,ZBAA-AGAVO-01,departure,ZBAA
CN,2605,CYMX,arrival,CN-2605-ZBAA-ARGUK-01,ZBAA-ARGUK-01,departure,ZBAA
CN,2605,CYMX,arrival,CN-2605-ZBAA-LAMEN-01,ZBAA-LAMEN-01,departure,ZBAA
CN,2605,CYMX,arrival,CN-2605-ZBAA-POLHO-01,ZBAA-POLHO-01,departure,ZBAA
CN,2605,CYMX,arrival,CN-2605-ZBAA-SIMLI-01,ZBAA-SIMLI-01,departure,ZBAA
CN,2605,CYMX,arrival,CN-2605-ZSPD-ARGUK-01,ZSPD-ARGUK-01,departure,ZSPD
CN,2605,CYMX,arrival,CN-2605-ZSPD-ARGUK-02,ZSPD-ARGUK-02,departure,ZSPD
CN,2605,CYMX,arrival,CN-2605-ZSPD-LAMEN-01,ZSPD-LAMEN-01,departure,ZSPD
CN,2605,CYMX,arrival,CN-2605-ZSPD-LAMEN-02,ZSPD-LAMEN-02,departure,ZSPD
CN,2605,CYMX,arrival,CN-2605-ZSPD-POLHO-01,ZSPD-POLHO-01,departure,ZSPD
CN,2605,CYMX,arrival,CN-2605-ZSPD-SIMLI-01,ZSPD-SIMLI-01,departure,ZSPD
CN,2605,CYMX,arrival,CN-2605-ZSPD-SIMLI-02,ZSPD-SIMLI-02,departure,ZSPD
CN,2605,CYUL,departure,CN-2605-AGAVO-ZBAA-01,AGAVO-ZBAA-01,arrival,ZBAA
CN,2605,CYUL,departure,CN-2605-LAMEN-ZBAA-01,LAMEN-ZBAA-01,arrival,ZBAA
CN,2605,CYUL,departure,CN-2605-LAMEN-ZSPD-01,LAMEN-ZSPD-01,arrival,ZSPD
CN,2605,CYUL,departure,CN-2605-MAGIT-ZBAA-01,MAGIT-ZBAA-01,arrival,ZBAA
CN,2605,CYUL,departure,CN-2605-MAGIT-ZSPD-01,MAGIT-ZSPD-01,arrival,ZSPD
CN,2605,CYUL,departure,CN-2605-MAGIT-ZSPD-02,MAGIT-ZSPD-02,arrival,ZSPD
CN,2605,CYUL,departure,CN-2605-POLHO-ZBAA-01,POLHO-ZBAA-01,arrival,ZBAA
CN,2605,CYUL,departure,CN-2605-POLHO-ZSPD-01,POLHO-ZSPD-01,arrival,ZSPD
CN,2605,CYUL,departure,CN-2605-SIMLI-ZBAA-01,SIMLI-ZBAA-01,arrival,ZBAA
CN,2605,CYUL,departure,CN-2605-SIMLI-ZSPD-01,SIMLI-ZSPD-01,arrival,ZSPD
CN,2605,CYUL,departure,CN-2605-SIMLI-ZSPD-02,SIMLI-ZSPD-02,arrival,ZSPD
CN,2605,CYUL,arrival,CN-2605-ZBAA-AGAVO-01,ZBAA-AGAVO-01,departure,ZBAA
CN,2605,CYUL,arrival,CN-2605-ZBAA-ARGUK-01,ZBAA-ARGUK-01,departure,ZBAA
CN,2605,CYUL,arrival,CN-2605-ZBAA-LAMEN-01,ZBAA-LAMEN-01,departure,ZBAA
CN,2605,CYUL,arrival,CN-2605-ZBAA-POLHO-01,ZBAA-POLHO-01,departure,ZBAA
CN,2605,CYUL,arrival,CN-2605-ZBAA-SIMLI-01,ZBAA-SIMLI-01,departure,ZBAA
CN,2605,CYUL,arrival,CN-2605-ZSPD-ARGUK-01,ZSPD-ARGUK-01,departure,ZSPD
CN,2605,CYUL,arrival,CN-2605-ZSPD-ARGUK-02,ZSPD-ARGUK-02,departure,ZSPD
CN,2605,CYUL,arrival,CN-2605-ZSPD-LAMEN-01,ZSPD-LAMEN-01,departure,ZSPD
CN,2605,CYUL,arrival,CN-2605-ZSPD-LAMEN-02,ZSPD-LAMEN-02,departure,ZSPD
CN,2605,CYUL,arrival,CN-2605-ZSPD-POLHO-01,ZSPD-POLHO-01,departure,ZSPD
CN,2605,CYUL,arrival,CN-2605-ZSPD-SIMLI-01,ZSPD-SIMLI-01,departure,ZSPD
