region_code,aip_cycle,from_fix,to_fix,airway,route_id,route_code,leg_sequence
SG,2605,10DMEPU,PU,B469,SG-2605-B469-269,B469,8
SG,2605,20DMEPU,VTK,B338,SG-2605-B338-207,B338,2
SG,2605,30DMEPU,AKOMA,B469,SG-2605-B469-269,B469,6
SG,2605,30VTK,VTK,G219,SG-2605-G219-429,G219,2
SG,2605,35DMESJ,LELIB,A464,SG-2605-A464-87,A464,2
GB,2605,524757N0004834W,532003N0013042W,UN601,GB-2605-UN601-16131,UN601,16
GB,2605,530016N0010043W,522632N0003702W,UN601,GB-2605-UN601-16131,UN601,19
GB,2605,532003N0013042W,532012N0011840W,UN601,GB-2605-UN601-16131,UN601,17
GB,2605,532012N0011840W,530016N0010043W,UN601,GB-2605-UN601-16131,UN601,18
GB,2605,532845N0013215W,533142N0010734W,Y70,GB-2605-Y70-17805,Y70,18
GB,2605,533109N0010751W,534402N0012252W,Y70,GB-2605-Y70-17805,Y70,20
GB,2605,533142N0010734W,533109N0010751W,Y70,GB-2605-Y70-17805,Y70,19
GB,2605,533835N0013503W,53462698N001193700W,Y70,GB-2605-Y70-17805,Y70,15
GB,2605,53412782N001035797W,532845N0013215W,Y70,GB-2605-Y70-17805,Y70,17
GB,2605,534402N0012252W,534007N0011937W,Y70,GB-2605-Y70-17805,Y70,21
GB,2605,53462698N001193700W,53412782N001035797W,Y70,GB-2605-Y70-17805,Y70,16
SG,2605,90DMEPU,BIKTA,B469,SG-2605-B469-269,B469,3
RU,2605,ABABO,OLOPI,H24,RU-2605-H24-12997,H24,906
RU,2605,ABAGA,GIKSI,H24,RU-2605-H24-12997,H24,1202
RU,2605,ABAGA,NESPA,H24,RU-2605-H24-9324,H24,594
RU,2605,ABAGI,BANAM,H24,RU-2605-H24-12997,H24,633
RU,2605,ABAGI,PISAR,H24,RU-2605-H24-4307,H24,11
RU,2605,ABAGI,TAKIB,H24,RU-2605-H24-20710,H24,438
RU,2605,ABALI,GITEK,H24,RU-2605-H24-20710,H24,207
RU,2605,ABALI,KEROM,H24,RU-2605-H24-9324,H24,579
RU,2605,ABATA,BEPIN,H24,RU-2605-H24-12997,H24,576
RU,2605,ABATA,RUNON,H24,RU-2605-H24-4557,H24,458
FR,2605,ABBEVILLE,ATREX,J19,FR-2605-J19-1940,J19,4
FR,2605,ABBEVILLE,DEVAL,UN29,FR-2605-UN29-2868,UN29,4
FR,2605,ABBEVILLE,DIMAL,T11,FR-2605-T11-4613,T11,24
FR,2605,ABBEVILLE,KUNAV,UM989,FR-2605-UM989-2848,UM989,4
FR,2605,ABBEVILLE,OBIVA,R50,FR-2605-R50-4316,R50,2
GB,2605,ABBEW,DAWLY,N864,GB-2605-N864-9844,N864,3
RU,2605,ABDAD,PEMON,H24,RU-2605-H24-4557,H24,448
RU,2605,ABDID,BAGUP,H24,RU-2605-H24-20710,H24,576
FR,2605,ABDIL,MEDOK,R161,FR-2605-R161-4519,R161,11
FR,2605,ABDIL,TUPOX,T43,FR-2605-T43-4854,T43,5
RU,2605,ABDIR,NAMOL,H24,RU-2605-H24-9324,H24,635
RU,2605,ABDIR,ORTOD,H24,RU-2605-H24-12997,H24,403
RU,2605,ABDIS,TIRET,H24,RU-2605-H24-20710,H24,146
RU,2605,ABDIS,VALIK,H24,RU-2605-H24-12997,H24,738
RU,2605,ABDOL,LOPRA,H24,RU-2605-H24-20710,H24,584
FR,2605,ABDOS,SANCE,R31,FR-2605-R31-4272,R31,3
FR,2605,ABDOS,VEROS,G54,FR-2605-G54-1508,G54,4
RU,2605,ABEBI,OLUGA,H24,RU-2605-H24-12997,H24,613
GB,2605,ABEDA,BANEM,P155,GB-2605-P155-12127,P155,2
RU,2605,ABELO,NETLU,H24,RU-2605-H24-9324,H24,19
RU,2605,ABELO,URMAN,H24,RU-2605-H24-12997,H24,1065
RU,2605,ABELU,OKLEK,H24,RU-2605-H24-20710,H24,603
GB,2605,ABERDEEN,NANEV,Y904,GB-2605-Y904-18638,Y904,1
GB,2605,ABERDEEN,OSLEL,P600,GB-2605-P600-12252,P600,18
GB,2605,ABERDEEN,PETOX,Y905,GB-2605-Y905-18678,Y905,1
RU,2605,ABERI,KUNER,H24,RU-2605-H24-4557,H24,339
RU,2605,ABERI,LUKEL,H24,RU-2605-H24-9324,H24,245
RU,2605,ABESA,LUMER,H24,RU-2605-H24-12997,H24,410
GB,2605,ABEVI,INPIP,N601,GB-2605-N601-9020,N601,17
RU,2605,ABGAR,ULKAM,H24,RU-2605-H24-4557,H24,122
RU,2605,ABGEL,SOTEN,H24,RU-2605-H24-9324,H24,658
GB,2605,ABGEP,RULAV,Q36,GB-2605-Q36-12648,Q36,5
RU,2605,ABGER,SUROL,H24,RU-2605-H24-4557,H24,32
RU,2605,ABGIL,LARTU,H24,RU-2605-H24-4557,H24,21
RU,2605,ABGIR,OTLIM,H24,RU-2605-H24-12997,H24,987
RU,2605,ABGUL,INPIL,H24,RU-2605-H24-9324,H24,572
RU,2605,ABGUL,PERMBOLSHOESAVINO,H24,RU-2605-H24-4557,H24,363
FR,2605,ABILI,UGLET,Q226,FR-2605-Q226-3871,Q226,9
RU,2605,ABINA,VALDA,H24,RU-2605-H24-9324,H24,167
RU,2605,ABINU,OSKIT,H24,RU-2605-H24-4557,H24,810
RU,2605,ABIPA,DIKDA,H24,RU-2605-H24-9324,H24,501
RU,2605,ABITI,LUKAS,H24,RU-2605-H24-4557,H24,590
RU,2605,ABK,BEKPU,H24,RU-2605-H24-12997,H24,325
GB,2605,ABKAT,GASKO,P18,GB-2605-P18-11229,P18,8
GB,2605,ABKIM,SOUTHAMPTON,L620,GB-2605-L620-3943,L620,5
RU,2605,ABKOS,OLNUP,H24,RU-2605-H24-9324,H24,96
FR,2605,ABLAK,ABILI,Q226,FR-2605-Q226-3871,Q226,8
FR,2605,ABLAK,MOTIM,P856,FR-2605-P856-3741,P856,1
RU,2605,ABLAS,ROMIP,H24,RU-2605-H24-4557,H24,320
RU,2605,ABLEB,UGNOR,H24,RU-2605-H24-4557,H24,492
RU,2605,ABLES,BIKBA,H24,RU-2605-H24-20710,H24,15
RU,2605,ABLIK,ABDOL,H24,RU-2605-H24-20710,H24,583
GB,2605,ABLIN,IRKUM,L18,GB-2605-L18-1112,L18,14
RU,2605,ABLOG,OGURA,H24,RU-2605-H24-4557,H24,842
RU,2605,ABLOR,GEPLA,H24,RU-2605-H24-12997,H24,1063
RU,2605,ABLOR,KUDED,H24,RU-2605-H24-4557,H24,406
RU,2605,ABMAG,OTRIT,H24,RU-2605-H24-12997,H24,1172
RU,2605,ABMIS,BAMIR,H24,RU-2605-H24-12997,H24,668
RU,2605,ABMOM,LUNOM,H24,RU-2605-H24-20710,H24,642
RU,2605,ABMOM,RONUM,H24,RU-2605-H24-4557,H24,730
RU,2605,ABMUD,IRKEM,H24,RU-2605-H24-9324,H24,90
RU,2605,ABMUD,LURIM,H24,RU-2605-H24-20710,H24,190
RU,2605,ABNAB,OTVOV,FL055,RU-2605-FL055-2113,FL055,48
RU,2605,ABNAB,TIGNU,H24,RU-2605-H24-12997,H24,286
RU,2605,ABNOK,UNVIN,H24,RU-2605-H24-20710,H24,400
RU,2605,ABNOL,KUGEK,H24,RU-2605-H24-4557,H24,576
RU,2605,ABNOL,OKMIT,H24,RU-2605-H24-12997,H24,272
RU,2605,ABNOT,KR,H24,RU-2605-H24-12997,H24,28
RU,2605,ABNUK,ZADAK,H24,RU-2605-H24-12997,H24,749
RU,2605,ABNUS,MARAM,H24,RU-2605-H24-20710,H24,503
RU,2605,ABNUS,OKROD,FL055,RU-2605-FL055-2113,FL055,285
RU,2605,ABOBA,NUGBI,H24,RU-2605-H24-12997,H24,1118
RU,2605,ABOBA,TITEN,H24,RU-2605-H24-20710,H24,85
RU,2605,ABODI,DETEG,H24,RU-2605-H24-12997,H24,1125
RU,2605,ABOKI,AMEDO,H24,RU-2605-H24-20710,H24,91
RU,2605,ABOKI,LANEP,H24,RU-2605-H24-9324,H24,725
RU,2605,ABOMA,DIVIL,H24,RU-2605-H24-12997,H24,1026
RU,2605,ABOMA,NIKTU,FL055,RU-2605-FL055-2113,FL055,155
RU,2605,ABOSU,ODNUS,H24,RU-2605-H24-12997,H24,861
RU,2605,ABREL,UMKAN,H24,RU-2605-H24-12997,H24,466
RU,2605,ABRES,LUTEM,H24,RU-2605-H24-4557,H24,260
RU,2605,ABROG,NEGEK,H24,RU-2605-H24-12997,H24,372
GB,2605,ABSAV,AVANT,L980,GB-2605-L980-4339,L980,4
