route_id,leg_sequence,from_fix,airway,to_fix,region_code,aip_cycle
CN-2605-AGAVO-ARGUK,1,AGAVO,G597,DONVO,CN,2605
CN-2605-AGAVO-ARGUK,2,DONVO,A326,SANKO,CN,2605
CN-2605-AGAVO-ARGUK,3,SANKO,W107,CHI,CN,2605
CN-2605-AGAVO-ARGUK,4,CHI,A588,HRB,CN,2605
CN-2605-AGAVO-ARGUK,5,HRB,G212,ARGUK,CN,2605
CN-2605-AGAVO-AS,1,AGAVO,G597,DONVO,CN,2605
CN-2605-AGAVO-AS,2,DONVO,A326,SANKO,CN,2605
CN-2605-AGAVO-AS,3,SANKO,W107,CHI,CN,2605
CN-2605-AGAVO-AS,4,CHI,A588,HRB,CN,2605
CN-2605-AGAVO-AS,5,HRB,G212,ARGUK,CN,2605
CN-2605-AGAVO-AS,6,ARGUK,DCT,AGAVO,CN,2605
CN-2605-AGAVO-AS,7,AGAVO,G597,DONVO,CN,2605
CN-2605-AGAVO-AS,8,DONVO,A326,SANKO,CN,2605
CN-2605-AGAVO-AS,9,SANKO,W107,CHI,CN,2605
CN-2605-AGAVO-AS,10,CHI,A588,SIMLI,CN,2605
CN-2605-AGAVO-B339-KAMUD,1,AGAVO,A591,IKEKA,CN,2605
CN-2605-AGAVO-B339-KAMUD,2,IKEKA,W4,HCH,CN,2605
CN-2605-AGAVO-B339-KAMUD,3,HCH,W200,DOVIV,CN,2605
CN-2605-AGAVO-B339-KAMUD,4,DOVIV,W55,PAMRU,CN,2605
CN-2605-AGAVO-B339-KAMUD,5,PAMRU,W34,LADIX,CN,2605
CN-2605-AGAVO-B339-KAMUD,6,LADIX,B339,ASILA,CN,2605
CN-2605-AGAVO-B339-KAMUD,7,ASILA,A575,UPREK,CN,2605
CN-2605-AGAVO-B339-KAMUD,8,UPREK,W28,LAGEB,CN,2605
CN-2605-AGAVO-B339-KAMUD,9,LAGEB,W66,NUKTI,CN,2605
CN-2605-AGAVO-B339-KAMUD,10,NUKTI,B215,KABDO,CN,2605
CN-2605-AGAVO-B339-KAMUD,11,KABDO,W119,LIMDO,CN,2605
CN-2605-AGAVO-B339-KAMUD,12,LIMDO,A468,KAMUD,CN,2605
CN-2605-AGAVO-B339-PURPA,1,AGAVO,A591,IKEKA,CN,2605
CN-2605-AGAVO-B339-PURPA,2,IKEKA,W4,HCH,CN,2605
CN-2605-AGAVO-B339-PURPA,3,HCH,W200,DOVIV,CN,2605
CN-2605-AGAVO-B339-PURPA,4,DOVIV,W55,PAMRU,CN,2605
CN-2605-AGAVO-B339-PURPA,5,PAMRU,W34,LADIX,CN,2605
CN-2605-AGAVO-B339-PURPA,6,LADIX,B339,ASILA,CN,2605
CN-2605-AGAVO-B339-PURPA,7,ASILA,A575,UPREK,CN,2605
CN-2605-AGAVO-B339-PURPA,8,UPREK,W28,LAGEB,CN,2605
CN-2605-AGAVO-B339-PURPA,9,LAGEB,W66,NUKTI,CN,2605
CN-2605-AGAVO-B339-PURPA,10,NUKTI,B215,IBANO,CN,2605
CN-2605-AGAVO-B339-PURPA,11,IBANO,W187,TUSLI,CN,2605
CN-2605-AGAVO-B339-PURPA,12,TUSLI,W112,PURPA,CN,2605
CN-2605-AGAVO-B339-RULAD,1,AGAVO,A591,IKEKA,CN,2605
CN-2605-AGAVO-B339-RULAD,2,IKEKA,W4,HCH,CN,2605
CN-2605-AGAVO-B339-RULAD,3,HCH,W200,DOVIV,CN,2605
CN-2605-AGAVO-B339-RULAD,4,DOVIV,W55,PAMRU,CN,2605
CN-2605-AGAVO-B339-RULAD,5,PAMRU,W34,LADIX,CN,2605
CN-2605-AGAVO-B339-RULAD,6,LADIX,B339,ASILA,CN,2605
CN-2605-AGAVO-B339-RULAD,7,ASILA,A575,UPREK,CN,2605
CN-2605-AGAVO-B339-RULAD,8,UPREK,W28,LAGEB,CN,2605
CN-2605-AGAVO-B339-RULAD,9,LAGEB,W66,NUKTI,CN,2605
CN-2605-AGAVO-B339-RULAD,10,NUKTI,B215,KABDO,CN,2605
CN-2605-AGAVO-B339-RULAD,11,KABDO,W119,GOBOK,CN,2605
CN-2605-AGAVO-B339-RULAD,12,GOBOK,A343,RULAD,CN,2605
CN-2605-AGAVO-B339-SARIN,1,AGAVO,A591,IKEKA,CN,2605
CN-2605-AGAVO-B339-SARIN,2,IKEKA,W4,HCH,CN,2605
CN-2605-AGAVO-B339-SARIN,3,HCH,W200,DOVIV,CN,2605
CN-2605-AGAVO-B339-SARIN,4,DOVIV,W55,PAMRU,CN,2605
CN-2605-AGAVO-B339-SARIN,5,PAMRU,W34,LADIX,CN,2605
CN-2605-AGAVO-B339-SARIN,6,LADIX,B339,ASILA,CN,2605
CN-2605-AGAVO-B339-SARIN,7,ASILA,A575,UPREK,CN,2605
CN-2605-AGAVO-B339-SARIN,8,UPREK,W28,LAGEB,CN,2605
CN-2605-AGAVO-B339-SARIN,9,LAGEB,W66,NUKTI,CN,2605
CN-2605-AGAVO-B339-SARIN,10,NUKTI,B215,FKG,CN,2605
CN-2605-AGAVO-B339-SARIN,11,FKG,A368,SARIN,CN,2605
CN-2605-AGAVO-B339-SRK,1,AGAVO,A591,IKEKA,CN,2605
CN-2605-AGAVO-B339-SRK,2,IKEKA,W4,HCH,CN,2605
CN-2605-AGAVO-B339-SRK,3,HCH,W200,DOVIV,CN,2605
CN-2605-AGAVO-B339-SRK,4,DOVIV,W55,PAMRU,CN,2605
CN-2605-AGAVO-B339-SRK,5,PAMRU,W34,LADIX,CN,2605
CN-2605-AGAVO-B339-SRK,6,LADIX,B339,ASILA,CN,2605
