region_code,aip_cycle,departure_code,arrival_code,route_id,route_code,lookup_rank
CN,2605,AYPY,ZGGG,CN-2605-TAMOT-ZGGG-01,TAMOT-ZGGG-01,500
CN,2605,AYPY,ZSPD,CN-2605-LAMEN-ZSPD-01,LAMEN-ZSPD-01,202
CN,2605,AYPY,ZSPD,CN-2605-MAGOG-ZSPD-01,MAGOG-ZSPD-01,299
CN,2605,CYEG,ZBTJ,CN-2605-MAGIT-ZBTJ-01,MAGIT-ZBTJ-01,265
CN,2605,CYEG,ZBTJ,CN-2605-SIMLI-ZBTJ-01,SIMLI-ZBTJ-01,486
CN,2605,CYEG,ZSPD,CN-2605-MAGIT-ZSPD-02,MAGIT-ZSPD-02,279
CN,2605,CYMX,ZBAA,CN-2605-AGAVO-ZBAA-01,AGAVO-ZBAA-01,1
CN,2605,CYMX,ZBAA,CN-2605-LAMEN-ZBAA-01,LAMEN-ZBAA-01,172
CN,2605,CYMX,ZBAA,CN-2605-MAGIT-ZBAA-01,MAGIT-ZBAA-01,262
CN,2605,CYMX,ZBAA,CN-2605-POLHO-ZBAA-01,POLHO-ZBAA-01,352
CN,2605,CYMX,ZBAA,CN-2605-SIMLI-ZBAA-01,SIMLI-ZBAA-01,484
CN,2605,CYMX,ZSPD,CN-2605-LAMEN-ZSPD-01,LAMEN-ZSPD-01,202
CN,2605,CYMX,ZSPD,CN-2605-MAGIT-ZSPD-01,MAGIT-ZSPD-01,278
CN,2605,CYMX,ZSPD,CN-2605-MAGIT-ZSPD-02,MAGIT-ZSPD-02,279
CN,2605,CYMX,ZSPD,CN-2605-POLHO-ZSPD-01,POLHO-ZSPD-01,364
CN,2605,CYMX,ZSPD,CN-2605-SIMLI-ZSPD-01,SIMLI-ZSPD-01,493
CN,2605,CYMX,ZSPD,CN-2605-SIMLI-ZSPD-02,SIMLI-ZSPD-02,494
CN,2605,CYUL,ZBAA,CN-2605-AGAVO-ZBAA-01,AGAVO-ZBAA-01,1
CN,2605,CYUL,ZBAA,CN-2605-LAMEN-ZBAA-01,LAMEN-ZBAA-01,172
CN,2605,CYUL,ZBAA,CN-2605-MAGIT-ZBAA-01,MAGIT-ZBAA-01,262
CN,2605,CYUL,ZBAA,CN-2605-POLHO-ZBAA-01,POLHO-ZBAA-01,352
CN,2605,CYUL,ZBAA,CN-2605-SIMLI-ZBAA-01,SIMLI-ZBAA-01,484
CN,2605,CYUL,ZSPD,CN-2605-LAMEN-ZSPD-01,LAMEN-ZSPD-01,202
CN,2605,CYUL,ZSPD,CN-2605-MAGIT-ZSPD-01,MAGIT-ZSPD-01,278
CN,2605,CYUL,ZSPD,CN-2605-MAGIT-ZSPD-02,MAGIT-ZSPD-02,279
CN,2605,CYUL,ZSPD,CN-2605-POLHO-ZSPD-01,POLHO-ZSPD-01,364
CN,2605,CYUL,ZSPD,CN-2605-SIMLI-ZSPD-01,SIMLI-ZSPD-01,493
CN,2605,CYUL,ZSPD,CN-2605-SIMLI-ZSPD-02,SIMLI-ZSPD-02,494
