time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,pitchRate_deg_s,rollRate_deg_s,yawRate_deg_s,ctrlElevator,ctrlAileron,ctrlRudder,ctrlThrottle,effElevator,effAileron,effRudder,motionEnabled,eng1_n1,eng2_n1,eng1_egt,eng2_egt,eng1_failed,eng2_failed,eng1_fire,eng2_fire,hydPressA_psi,hydPressB_psi,elecVolts,onGround
-0.02,climb_cruise,449.9,449.9,34999.9,-42,0.20,0.00,0.00,0.17,15.0,125.0,0,0,3.56,0.00,0.00,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1,84.4,84.4,763,763,0,0,0,0,3000,3000,115,0
0.00,climb_cruise,449.9,449.9,34999.9,-49,0.27,-0.00,0.00,0.31,15.0,125.0,0,0,3.86,-0.00,0.00,-0.005,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.3,84.3,763,763,0,0,0,0,3000,3000,115,0
0.02,climb_cruise,449.9,449.9,34999.9,-56,0.35,-0.00,0.00,0.40,15.0,125.0,0,0,4.28,-0.00,0.00,-0.010,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.2,84.2,764,764,0,0,0,0,3000,3000,114,0
0.04,climb_cruise,449.9,449.9,34999.8,-62,0.44,-0.00,0.00,0.50,15.0,125.0,0,0,4.86,-0.00,0.00,-0.015,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.2,84.2,764,764,0,0,0,0,3000,3000,116,0
0.06,climb_cruise,449.9,449.9,34999.8,-68,0.54,-0.00,0.00,0.61,15.0,125.0,0,0,5.40,-0.00,0.00,-0.019,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.1,84.1,765,765,0,0,0,0,3000,3000,114,0
0.08,climb_cruise,449.9,449.9,34999.8,-73,0.65,-0.00,0.00,0.72,15.0,125.0,0,0,5.77,-0.00,0.00,-0.021,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.1,84.1,765,765,0,0,0,0,3000,3000,115,0
0.10,climb_cruise,449.9,449.9,34999.8,-77,0.77,-0.00,0.00,0.84,15.0,125.0,0,0,5.86,-0.00,0.00,-0.021,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.1,84.1,766,766,0,0,0,0,3000,3000,115,0
0.12,climb_cruise,449.9,449.9,34999.7,-81,0.89,-0.00,0.00,0.96,15.0,125.0,0,0,5.62,-0.00,0.00,-0.020,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.1,84.1,766,766,0,0,0,0,3000,3000,114,0
0.14,climb_cruise,449.9,449.9,34999.7,-83,0.99,-0.00,0.00,1.08,15.0,125.0,0,0,5.02,-0.00,0.00,-0.018,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.1,84.1,766,766,0,0,0,0,3000,3000,115,0
0.16,climb_cruise,449.8,449.8,34999.7,-85,1.09,-0.00,0.00,1.18,15.0,125.0,0,0,4.09,-0.00,0.00,-0.015,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.1,84.1,767,767,0,0,0,0,3000,3000,114,0
0.18,climb_cruise,449.8,449.8,34999.6,-87,1.16,-0.00,0.00,1.26,15.0,125.0,0,0,2.87,-0.00,0.00,-0.011,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.1,84.1,767,767,0,0,0,0,3000,3000,115,0
0.20,climb_cruise,449.8,449.8,34999.6,-88,1.21,-0.00,0.00,1.31,15.0,125.0,0,0,1.44,-0.00,0.00,-0.007,-0.000,-0.000,1.000,1.000,1.000,1.000,1,84.1,84.1,768,768,0,0,0,0,3000,3000,115,0
