time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,eng1_n1,eng2_n1,eng1_egt,eng2_egt,hydPress_psi,elecVolts,onGround
0.00,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,92.9,93.0,791,791,316,114,0
0.02,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,92.7,93.1,791,791,316,115,0
0.04,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,92.5,93.2,791,791,316,114,0
0.06,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,92.3,93.3,791,791,316,114,0
0.08,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,92.1,93.4,791,791,316,116,0
0.10,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,91.9,93.5,791,791,316,115,0
0.12,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,91.7,93.6,791,792,316,115,0
0.14,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,91.6,93.7,791,792,316,115,0
0.16,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,91.4,93.7,791,792,316,114,0
0.18,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,91.2,93.8,791,792,316,115,0
0.20,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,91.0,93.9,791,792,316,114,0
0.22,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,90.8,94.0,791,792,316,115,0
0.24,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,90.7,94.1,791,792,316,114,0
0.26,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,90.5,94.2,791,793,316,115,0
0.28,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,90.3,94.3,791,793,316,115,0
0.30,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,90.1,94.3,791,793,316,116,0
0.32,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,89.9,94.4,791,793,316,114,0
0.34,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,89.7,94.5,791,793,316,116,0
0.36,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,89.6,94.6,791,793,316,116,0
0.38,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,89.4,94.7,791,793,316,116,0
0.40,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,89.2,94.8,791,793,316,115,0
0.42,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,89.0,94.8,791,794,316,115,0
0.44,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,88.9,94.9,791,794,316,116,0
0.46,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,88.7,95.0,791,794,316,115,0
0.48,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,88.5,95.1,791,794,316,115,0
0.50,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,88.3,95.1,791,794,316,114,0
0.52,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,88.1,95.2,791,794,316,115,0
0.54,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,88.0,95.3,791,794,316,114,0
0.56,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,87.8,95.4,791,794,316,115,0
0.58,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,87.6,95.4,791,794,316,115,0
0.60,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,87.4,95.5,791,795,316,115,0
0.62,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,87.3,95.6,791,795,316,115,0
0.64,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,87.1,95.7,791,795,316,116,0
0.66,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,86.9,95.7,791,795,316,114,0
0.68,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,86.7,95.8,791,795,316,116,0
0.70,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,86.6,95.9,791,795,316,115,0
0.72,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,86.4,95.9,791,795,316,116,0
0.74,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,86.2,96.0,791,795,316,114,0
0.76,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,86.1,96.1,791,795,316,115,0
0.78,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.9,96.1,791,796,316,115,0
0.80,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.7,96.2,791,796,316,115,0
0.82,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.5,96.3,791,796,316,114,0
0.84,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.4,96.3,791,796,316,115,0
0.86,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.2,96.4,791,796,316,116,0
0.88,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,85.0,96.5,791,796,316,114,0
0.90,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.9,96.5,791,796,316,116,0
0.92,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.7,96.6,791,796,316,116,0
0.94,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.5,96.6,791,796,316,116,0
0.96,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.4,96.7,791,796,316,115,0
0.98,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.2,96.8,791,796,316,115,0
1.00,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,84.0,96.8,791,797,316,116,0
1.02,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,83.8,96.9,791,797,316,115,0
1.04,climb_cruise,0.0,0.0,35000.0,0,0.00,0.00,0.00,0.00,15.0,125.0,0,1,83.7,96.9,791,797,316,114,0
