time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,pitchRate_deg_s,rollRate_deg_s,yawRate_deg_s,ctrlElevator,ctrlAileron,ctrlRudder,ctrlThrottle,effElevator,effAileron,effRudder,motionEnabled,eng1_n1,eng2_n1,eng1_egt,eng2_egt,hydPress_psi,elecVolts,onGround
-0.02,climb_cruise,449.9,449.9,34999.9,-42,0.20,-0.00,360.00,0.17,15.0,125.0,0,0,3.56,-0.00,-0.00,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1,84.4,84.4,762,763,3000,116,0
0.00,climb_cruise,449.9,449.9,34999.9,-49,0.26,-0.00,359.97,0.31,15.0,125.0,0,0,2.96,-0.34,-3.22,-0.005,0.000,0.000,1.000,0.100,0.100,0.100,1,84.2,84.3,762,763,316,114,0
0.02,climb_cruise,449.9,449.9,34999.9,-56,0.32,-0.02,359.89,0.38,15.0,125.0,0,0,2.38,-1.18,-5.85,-0.010,0.001,0.000,1.000,0.100,0.100,0.100,1,84.1,84.3,762,764,316,115,0
0.04,climb_cruise,449.9,449.9,34999.8,-62,0.36,-0.05,359.75,0.43,15.0,125.0,0,0,1.83,-2.14,-7.92,-0.015,0.005,0.001,1.000,0.100,0.100,0.100,1,83.9,84.2,762,764,316,115,0
0.06,climb_cruise,449.9,449.9,34999.8,-68,0.39,-0.10,359.58,0.47,15.0,125.0,0,0,1.33,-3.08,-9.49,-0.019,0.011,0.001,1.000,0.100,0.100,0.100,1,83.7,84.1,762,765,316,114,0
0.08,climb_cruise,449.8,449.8,34999.8,-74,0.41,-0.17,359.38,0.50,15.0,125.0,0,0,0.88,-3.96,-10.59,-0.023,0.019,0.003,1.000,0.100,0.100,0.100,1,83.6,84.1,762,765,316,114,0
0.10,climb_cruise,449.8,449.8,34999.8,-80,0.43,-0.25,359.16,0.53,15.0,125.0,0,0,0.48,-4.75,-11.28,-0.025,0.028,0.005,1.000,0.100,0.100,0.100,1,83.4,84.1,762,766,316,115,0
0.12,climb_cruise,449.8,449.8,34999.7,-85,0.43,-0.36,358.93,0.54,15.0,125.0,0,0,0.14,-5.44,-11.60,-0.027,0.038,0.007,1.000,0.100,0.100,0.100,1,83.2,84.1,762,766,316,115,0
0.14,climb_cruise,449.8,449.8,34999.7,-91,0.43,-0.47,358.70,0.56,15.0,125.0,0,0,-0.15,-6.03,-11.61,-0.029,0.047,0.010,1.000,0.100,0.100,0.100,1,83.1,84.1,762,767,316,115,0
0.16,climb_cruise,449.7,449.7,34999.7,-96,0.43,-0.60,358.47,0.56,15.0,125.0,0,0,-0.38,-6.53,-11.36,-0.031,0.057,0.013,1.000,0.100,0.100,0.100,1,82.9,84.1,762,767,316,116,0
0.18,climb_cruise,449.7,449.7,34999.6,-101,0.41,-0.73,358.25,0.56,15.0,125.0,0,0,-0.56,-6.93,-10.89,-0.033,0.066,0.016,1.000,0.100,0.100,0.100,1,82.7,84.1,762,768,316,116,0
0.20,climb_cruise,449.7,449.7,34999.6,-107,0.40,-0.88,358.04,0.56,15.0,125.0,0,0,-0.69,-7.25,-10.25,-0.034,0.075,0.020,1.000,0.100,0.100,0.100,1,82.6,84.1,762,768,316,115,0
0.22,climb_cruise,449.7,449.7,34999.6,-112,0.38,-1.02,357.84,0.56,15.0,125.0,0,0,-0.78,-7.49,-9.48,-0.036,0.083,0.023,1.000,0.100,0.100,0.100,1,82.4,84.1,762,768,316,115,0
0.24,climb_cruise,449.6,449.6,34999.5,-118,0.36,-1.18,357.65,0.56,15.0,125.0,0,0,-0.83,-7.65,-8.62,-0.038,0.091,0.027,1.000,0.100,0.100,0.100,1,82.2,84.2,762,769,316,114,0
0.26,climb_cruise,449.6,449.6,34999.5,-123,0.34,-1.33,357.49,0.55,15.0,125.0,0,0,-0.85,-7.74,-7.70,-0.041,0.098,0.030,1.000,0.100,0.100,0.100,1,82.1,84.2,762,769,316,114,0
0.28,climb_cruise,449.6,449.6,34999.5,-129,0.32,-1.49,357.34,0.55,15.0,125.0,0,0,-0.84,-7.77,-6.76,-0.043,0.104,0.033,1.000,0.100,0.100,0.100,1,81.9,84.2,762,770,316,114,0
0.30,climb_cruise,449.6,449.6,34999.4,-134,0.30,-1.64,357.22,0.55,15.0,125.0,0,0,-0.80,-7.75,-5.82,-0.045,0.110,0.036,1.000,0.100,0.100,0.100,1,81.7,84.3,762,770,316,115,0
