time_s,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,eng1_n1,eng2_n1,eng1_egt,eng2_egt,hydPress_psi,elecVolts,onGround
0.00,155.1,150.1,6.6,73,0.36,-0.16,359.84,0.10,15.0,125.0,0,0,88.4,88.4,771,771,3000,115,1
0.05,155.3,150.3,6.7,183,0.58,0.55,359.48,0.00,15.0,125.0,0,0,88.1,88.1,768,768,3000,115,1
0.10,155.4,150.4,6.9,252,0.59,-0.44,359.01,-0.31,15.0,125.0,0,0,87.8,87.7,767,766,3000,115,1
0.15,155.6,150.6,7.1,277,0.67,0.38,358.69,-0.33,15.0,125.0,0,0,87.4,87.4,766,766,3000,114,1
0.20,155.7,150.7,7.3,290,0.78,-0.36,358.52,-0.30,15.0,125.0,0,0,87.0,87.0,766,765,3000,115,1
0.25,155.8,150.8,7.6,302,0.89,0.29,358.43,-0.21,15.0,125.0,0,0,86.7,86.7,766,766,3000,116,1
0.30,156.0,151.0,7.8,313,1.01,-0.32,358.42,-0.15,15.0,125.0,0,0,86.4,86.4,766,766,3000,115,1
0.35,156.1,151.1,8.1,325,1.13,0.22,358.43,-0.06,15.0,125.0,0,0,86.2,86.1,767,767,3000,115,1
0.40,156.2,151.2,8.4,336,1.25,-0.26,358.49,0.01,15.0,125.0,0,0,86.0,85.9,767,767,3000,116,1
0.45,156.4,151.4,8.6,348,1.37,0.15,358.56,0.10,15.0,125.0,0,0,85.8,85.8,768,768,3000,115,1
0.50,156.5,151.5,8.9,347,1.56,0.41,358.21,0.27,15.0,125.0,0,0,85.8,85.7,769,769,3000,115,1
0.55,156.6,151.6,9.2,361,1.80,0.74,357.93,0.44,15.0,125.0,0,0,85.7,85.7,770,769,3000,116,1
0.60,156.7,151.7,9.5,386,1.99,0.94,357.59,0.55,15.0,125.0,0,0,85.7,85.6,770,770,3000,114,1
0.65,156.8,151.8,9.8,411,2.16,1.01,357.06,0.62,15.0,125.0,0,0,85.7,85.7,771,771,3000,115,1
0.70,156.9,151.9,10.2,436,2.29,0.93,356.40,0.66,15.0,125.0,0,0,85.8,85.7,772,772,3000,115,1
0.75,157.0,152.0,10.6,460,2.35,0.75,355.70,0.65,15.0,125.0,0,0,85.8,85.8,773,773,3000,115,1
0.80,157.2,152.2,10.9,478,2.34,0.56,355.01,0.59,15.0,125.0,0,0,86.0,85.9,773,773,3000,115,1
0.85,157.3,152.3,11.4,484,2.27,0.39,354.36,0.50,15.0,125.0,0,0,86.1,86.1,774,774,3000,114,1
0.90,157.4,152.4,11.8,478,2.15,0.24,353.76,0.42,15.0,125.0,0,0,86.2,86.2,775,775,3000,114,1
0.95,157.5,152.5,12.2,461,2.01,0.10,353.20,0.34,15.0,125.0,0,0,86.4,86.4,776,776,3000,116,1
1.00,157.6,152.6,12.5,435,1.85,-0.01,352.70,0.28,15.0,125.0,0,0,86.6,86.6,776,776,3000,115,1
1.05,157.7,152.8,12.9,403,1.68,-0.10,352.23,0.24,15.0,125.0,0,0,86.8,86.8,777,777,3000,115,1
1.10,157.9,152.9,13.2,367,1.52,-0.19,351.79,0.22,15.0,125.0,0,0,87.0,87.0,778,778,3000,115,1
1.15,158.0,153.0,13.5,330,1.37,-0.25,351.37,0.21,15.0,125.0,0,0,87.2,87.2,778,778,3000,116,1
1.20,158.1,153.1,13.8,293,1.23,-0.31,350.97,0.21,15.0,125.0,0,0,87.5,87.5,779,779,3000,115,1
1.25,158.3,153.3,14.0,258,1.11,-0.37,350.58,0.23,15.0,125.0,0,0,87.7,87.7,780,780,3000,115,1
1.30,158.4,153.4,14.2,226,1.00,-0.41,350.19,0.24,15.0,125.0,0,0,87.9,88.0,780,780,3000,115,1
1.35,158.5,153.5,14.4,198,0.91,-0.46,349.80,0.26,15.0,125.0,0,0,88.2,88.2,781,781,3000,114,1
1.40,158.7,153.7,14.5,172,0.83,-0.50,349.42,0.29,15.0,125.0,0,0,88.4,88.5,781,781,3000,114,1
1.45,158.8,153.8,14.7,151,0.76,-0.53,349.04,0.31,15.0,125.0,0,0,88.7,88.7,782,782,3000,115,1
1.50,158.9,153.9,14.8,132,0.70,-0.57,348.66,0.33,15.0,125.0,0,0,88.9,89.0,782,783,3000,116,1
1.55,159.1,154.1,14.9,116,0.65,-0.60,348.28,0.34,15.0,125.0,0,0,89.2,89.2,783,783,3000,116,1
1.60,159.2,154.2,15.0,103,0.61,-0.64,347.91,0.36,15.0,125.0,0,0,89.4,89.5,783,784,3000,116,1
1.65,159.4,154.4,15.1,92,0.57,-0.67,347.55,0.37,15.0,125.0,0,0,89.7,89.7,784,784,3000,114,1
1.70,159.5,154.5,15.1,83,0.54,-0.69,347.19,0.38,15.0,125.0,0,0,89.9,90.0,784,785,3000,114,1
1.75,159.7,154.7,15.2,74,0.50,-0.69,346.85,0.38,15.0,125.0,0,0,90.2,90.2,785,785,3000,114,1
1.80,159.8,154.8,15.3,66,0.47,-0.68,346.51,0.38,15.0,125.0,0,0,90.4,90.5,785,785,3000,116,1
1.85,160.0,155.0,15.3,59,0.44,-0.66,346.19,0.38,15.0,125.0,0,0,90.6,90.7,786,786,3000,115,1
1.90,160.1,155.1,15.4,52,0.42,-0.63,345.88,0.38,15.0,125.0,0,0,90.9,90.9,786,786,3000,116,1
1.95,160.2,155.2,15.4,45,0.39,-0.60,345.59,0.37,15.0,125.0,0,0,91.1,91.2,787,787,3000,115,1
2.00,160.4,155.4,15.4,37,0.36,-0.55,345.31,0.36,15.0,125.0,0,0,91.3,91.4,787,787,3000,116,1
2.05,160.5,155.5,15.5,30,0.33,-0.50,345.04,0.35,15.0,125.0,0,0,91.6,91.6,787,788,3000,115,1
2.10,160.7,155.7,15.5,22,0.30,-0.43,344.79,0.33,15.0,125.0,0,0,91.8,91.9,788,788,3000,116,1
2.15,160.8,155.8,15.5,13,0.27,-0.35,344.55,0.32,15.0,125.0,0,0,92.0,92.1,788,788,3000,114,1
2.20,160.9,155.9,15.5,5,0.25,-0.26,344.32,0.30,15.0,125.0,0,0,92.2,92.3,788,789,3000,116,1
2.25,161.1,156.1,15.5,-5,0.22,-0.16,344.10,0.28,15.0,125.0,0,0,92.4,92.5,789,789,3000,115,1
2.30,161.2,156.2,15.5,-14,0.19,-0.03,343.90,0.26,15.0,125.0,0,0,92.6,92.7,789,789,3000,116,1
2.35,161.3,156.3,15.5,-25,0.17,0.11,343.70,0.24,15.0,125.0,0,0,92.8,92.9,789,790,3000,115,1
2.40,161.4,156.4,15.5,-36,0.15,0.27,343.52,0.21,15.0,125.0,0,0,93.0,93.1,790,790,3000,116,1
2.45,161.5,156.5,15.4,-47,0.13,0.45,343.34,0.19,15.0,125.0,0,0,93.2,93.3,790,790,3000,114,1
2.50,161.6,156.7,15.4,-60,0.11,0.66,343.16,0.16,15.0,125.0,0,0,93.4,93.5,790,791,3000,114,1
2.55,161.7,156.8,15.4,-73,0.09,0.89,342.99,0.12,15.0,125.0,0,0,93.6,93.7,791,791,3000,114,1
2.60,161.8,156.8,15.3,-86,0.08,1.15,342.83,0.09,15.0,125.0,0,0,93.8,93.9,791,791,3000,116,1
2.65,161.9,156.9,15.2,-101,0.06,1.45,342.67,0.05,15.0,125.0,0,0,93.9,94.0,791,791,3000,115,1
2.70,162.0,157.0,15.1,-116,0.05,1.77,342.51,0.01,15.0,125.0,0,0,94.1,94.2,791,792,3000,114,1
2.75,162.1,157.1,15.0,-132,0.05,2.13,342.35,-0.03,15.0,125.0,0,0,94.3,94.4,792,792,3000,114,1
2.80,162.1,157.1,14.9,-149,0.04,2.52,342.20,-0.08,15.0,125.0,0,0,94.4,94.6,792,792,3000,115,1
2.85,162.2,157.2,14.8,-166,0.04,2.96,342.04,-0.13,15.0,125.0,0,0,94.6,94.7,792,792,3000,116,1
2.90,162.2,157.2,14.6,-186,0.05,3.44,341.88,-0.17,15.0,125.0,0,0,94.8,94.9,792,793,3000,116,1
2.95,162.2,157.2,14.5,-205,0.07,3.97,341.78,-0.22,15.0,125.0,0,0,94.9,95.0,793,793,3000,114,1
3.00,162.2,157.2,14.3,-223,0.08,4.55,341.71,-0.26,15.0,125.0,0,0,95.1,95.2,793,793,3000,115,1
3.05,162.2,157.2,14.1,-240,0.10,5.17,341.62,-0.33,15.0,125.0,0,0,95.2,95.3,793,793,3000,115,1
3.10,162.2,157.2,13.9,-259,0.12,5.84,341.49,-0.40,15.0,125.0,0,0,95.3,95.5,793,794,3000,115,1
3.15,162.2,157.2,13.7,-279,0.14,6.56,341.34,-0.47,15.0,125.0,0,0,95.5,95.6,794,794,3000,114,1
3.20,162.1,157.2,13.5,-299,0.17,7.33,341.17,-0.53,15.0,125.0,0,0,95.6,95.7,794,794,3000,115,1
3.25,162.1,157.1,13.2,-319,0.20,8.16,340.97,-0.60,15.0,125.0,0,0,95.7,95.9,794,794,3000,116,1
3.30,162.0,157.0,12.9,-339,0.24,9.04,340.76,-0.67,15.0,125.0,0,0,95.9,96.0,794,794,3000,115,1
3.35,161.9,157.0,12.7,-359,0.29,9.99,340.54,-0.75,15.0,125.0,0,0,96.0,96.1,794,795,3000,116,1
3.40,161.8,156.9,12.4,-359,0.35,11.00,340.30,-0.82,15.0,125.0,0,0,96.1,96.2,795,795,3000,115,1
3.45,161.8,156.8,12.1,-289,0.42,11.94,340.05,-1.21,15.0,125.0,0,0,96.2,96.3,795,795,3000,116,1
3.50,161.7,156.8,11.9,-231,0.51,12.68,339.80,-1.49,15.0,125.0,0,0,96.3,96.5,795,795,3000,116,1
3.55,161.7,156.8,11.7,-182,0.61,13.26,339.54,-1.69,15.0,125.0,0,0,96.5,96.6,795,795,3000,114,1
3.60,161.7,156.7,11.6,-141,0.72,13.70,339.30,-1.82,15.0,125.0,0,0,96.6,96.7,795,795,3000,116,1
3.65,161.7,156.8,11.5,-108,0.84,14.03,339.07,-1.90,15.0,125.0,0,0,96.7,96.8,795,796,3000,115,1
3.70,161.7,156.8,11.4,-79,0.95,14.27,338.85,-1.94,15.0,125.0,0,0,96.8,96.9,796,796,3000,115,1
3.75,161.8,156.8,11.4,-56,1.06,14.42,338.65,-1.94,15.0,125.0,0,0,96.9,97.0,796,796,3000,115,1
3.80,161.8,156.9,11.3,-36,1.17,14.51,338.47,-1.91,15.0,125.0,0,0,97.0,97.1,796,796,3000,114,1
3.85,161.8,156.9,11.3,-25,1.28,14.55,338.29,-1.86,15.0,125.0,0,0,97.1,97.2,796,796,3000,116,1
3.90,161.9,157.0,11.3,-23,1.46,14.58,338.44,-1.60,15.0,125.0,0,0,97.2,97.3,796,796,3000,114,1
3.95,161.9,157.0,11.2,-17,1.58,14.60,338.79,-1.37,15.0,125.0,0,0,97.2,97.3,796,796,3000,116,1
4.00,162.0,157.1,11.2,-12,1.71,14.62,339.32,-1.07,15.0,125.0,0,0,97.3,97.4,796,797,3000,115,1
4.05,162.1,157.2,11.2,-23,1.83,14.61,339.88,-0.79,15.0,125.0,0,0,97.4,97.5,796,797,3000,114,1
4.10,162.2,157.2,11.2,-51,1.86,14.68,340.34,-0.39,15.0,125.0,0,0,97.5,97.6,797,797,3000,116,1
4.15,162.2,157.3,11.1,-45,1.90,14.80,340.55,-0.24,15.0,125.0,0,0,97.6,97.7,797,797,3000,115,1
4.20,162.3,157.4,11.1,-29,1.94,14.89,340.60,-0.19,15.0,125.0,0,0,97.7,97.8,797,797,3000,114,1
4.25,162.4,157.5,11.1,-12,1.98,14.92,340.54,-0.16,15.0,125.0,0,0,97.7,97.8,797,797,3000,115,1
4.30,162.5,157.6,11.1,4,2.03,14.91,340.43,-0.15,15.0,125.0,0,0,97.8,97.9,797,797,3000,114,1
4.35,162.7,157.8,11.1,19,2.07,14.85,340.29,-0.13,15.0,125.0,0,0,97.9,98.0,797,797,3000,114,1
4.40,162.8,157.9,11.1,33,2.11,14.74,340.13,-0.12,15.0,125.0,0,0,97.9,98.0,797,797,3000,115,1
4.45,162.9,158.0,11.1,45,2.15,14.60,339.95,-0.10,15.0,125.0,0,0,98.0,98.1,797,797,3000,115,1
4.50,163.0,158.1,11.2,57,2.18,14.42,339.76,-0.09,15.0,125.0,0,0,98.1,98.2,797,798,3000,116,1
4.55,163.1,158.3,11.2,67,2.21,14.21,339.55,-0.07,15.0,125.0,0,0,98.1,98.2,798,798,3000,115,1
4.60,163.3,158.4,11.3,76,2.24,13.97,339.34,-0.06,15.0,125.0,0,0,98.2,98.3,798,798,3000,114,1
4.65,163.4,158.5,11.4,84,2.26,13.71,339.13,-0.04,15.0,125.0,0,0,98.3,98.4,798,798,3000,116,1
4.70,163.5,158.7,11.4,91,2.28,13.43,338.92,-0.03,15.0,125.0,0,0,98.3,98.4,798,798,3000,116,1
4.75,163.7,158.8,11.5,98,2.29,13.12,338.71,-0.01,15.0,125.0,0,0,98.4,98.5,798,798,3000,116,1
4.80,163.8,159.0,11.6,104,2.30,12.80,338.51,0.01,15.0,125.0,0,0,98.4,98.5,798,798,3000,114,1
4.85,164.0,159.1,11.7,110,2.31,12.47,338.31,0.03,15.0,125.0,0,0,98.5,98.6,798,798,3000,115,1
4.90,164.1,159.3,11.8,116,2.31,12.12,338.12,0.05,15.0,125.0,0,0,98.5,98.6,798,798,3000,115,1
4.95,164.3,159.4,11.9,121,2.31,11.76,337.93,0.07,15.0,125.0,0,0,98.6,98.7,798,798,3000,115,1
5.00,164.3,159.4,12.0,122,2.31,11.37,337.13,0.02,15.0,125.0,0,0,98.1,98.7,798,798,3000,116,1
5.05,164.3,159.5,12.0,102,2.32,10.95,335.13,-0.19,15.0,125.0,0,0,97.6,98.8,798,798,3000,115,1
5.10,164.4,159.5,12.1,53,2.32,10.60,332.36,-0.45,15.0,125.0,0,0,97.1,98.8,798,799,3000,115,1
5.15,164.3,159.5,12.1,-23,2.32,10.40,329.11,-0.73,15.0,125.0,0,0,96.6,98.9,798,799,3000,115,1
5.20,164.2,159.4,12.1,-64,2.41,10.43,325.81,-1.07,15.0,125.0,0,0,96.2,98.9,798,799,3000,114,1
5.25,164.1,159.2,12.0,-74,2.50,10.54,322.76,-1.56,15.0,125.0,0,0,95.7,98.9,798,799,3000,115,1
5.30,163.9,159.0,11.9,-89,2.63,10.68,320.07,-2.00,15.0,125.0,0,0,95.2,99.0,798,799,3000,115,1
5.35,163.6,158.8,11.8,-107,2.76,10.88,317.81,-2.36,15.0,125.0,0,0,94.7,99.0,798,799,3000,114,1
5.40,163.2,158.4,11.7,-125,2.91,11.14,315.96,-2.68,15.0,125.0,0,0,94.3,99.1,798,799,3000,115,1
5.45,162.9,158.0,11.6,-142,3.05,11.46,314.50,-2.94,15.0,125.0,0,0,93.8,99.1,798,799,3000,115,1
5.50,162.4,157.6,11.5,-158,3.21,11.84,313.39,-3.17,15.0,125.0,0,0,93.3,99.1,798,799,3000,114,1
5.55,162.0,157.2,11.4,-171,3.35,12.27,312.59,-3.36,15.0,125.0,0,0,92.8,99.2,798,799,3000,115,1
5.60,161.5,156.7,11.2,-182,3.50,12.73,312.06,-3.52,15.0,125.0,0,0,92.4,99.2,798,799,3000,115,1
5.65,161.0,156.2,11.1,-190,3.65,13.24,311.77,-3.64,15.0,125.0,0,0,91.9,99.2,798,799,3000,115,1
5.70,160.4,155.7,10.9,-196,3.79,13.77,311.67,-3.72,15.0,125.0,0,0,91.5,99.3,798,799,3000,115,1
5.75,159.9,155.2,10.8,-198,3.93,14.32,311.72,-3.77,15.0,125.0,0,0,91.0,99.3,798,799,3000,114,1
